Pin,Label,ADC,Channel
PF3,COLOUT_0001,3,9
PF4,COLOUT_0203,3,14
PF5,COLOUT_0405,3,15
PF6,COLOUT_0607,3,4
PF7,COLOUT_0809,3,5
PF8,COLOUT_1011,3,6
PF9,COLOUT_1213,3,7
PF10,COLOUT_1415,3,8
PC0,COLOUT_1617,3,10
PC1,COLOUT_1819,3,11
PC2,COLOUT_2021,3,12
PC3,COLOUT_2223,3,13
PC4,COLOUT_2425,1,14
PC5,COLOUT_2627,1,15
PA0,COLOUT_2829,3,0
PA1,COLOUT_3031,3,1
PA2,COLOUT_3233,3,2
PA3,COLOUT_3435,3,3
PA4,COLOUT_3637,1,4
PA5,COLOUT_3839,1,5
PA6,COLOUT_4041,1,6
PA7,COLOUT_4243,1,7
PB0,COLOUT_4445,1,8
PB1,COLOUT_4647,1,9
